comment_id,proposal_id,user_id,content,created_at
20,1,424,Agora acabou a máfia das auto escolas.. pô cara 3k pra tu tirar carteira de carro e moto .. absurdo demais,2026-01-07 03:38:31.595535
21,1,409,Kkkkkkk,2025-12-01 05:46:58.730138
22,1,321,Eduardo Costa de Lula,2025-11-26 01:55:15.542486
23,1,262,"gente aprendendo com parentes ou amigos sempre existiu, tirando outros países que utilizam esse método desde sempre.... mas se viu algum lugar ou país que teve um número considerável de acidente por esse motivo, mande aí",2025-12-21 05:02:07.564506
24,1,486,"sim, pode",2026-05-17 08:14:07.762780
25,1,96,"ué, o banco do é do governo? novidade essa kkkkkkk",2025-11-23 15:08:51.153825
26,1,382,"sim, e pra passar precisa.... dirigir direito, o que não se aprende só auto escola",2025-05-25 15:54:01.067224
27,1,62,esse ainda vai ter,2025-09-10 13:59:50.671777
28,1,576,"sim, vale pra A e B",2026-01-11 14:23:23.271502
29,1,421,Mais uma mentira do governo,2025-12-31 03:02:11.315509
30,1,434,Mas ainda vai precisar fazer aula com a auto escola então não faz sentido,2025-04-28 16:24:45.563764
31,1,53,"Agradeçam ao kim kataguiri , se dependesse desse governo a mafia continuaria por mais uns 20 anos",2025-03-11 15:17:21.852309
32,1,320,"Se a pessoa saber tudo,tenque tirar a carteira no mesmo dia",2026-01-01 01:28:31.617378
33,1,520,"Vai arrecadar mais,pois vai ter um número elevado de reprovação aí para marcar outro exame recolhe novamente a taxa para o governo e tem também o veículo para exame acompanhado de um instrutor",2026-03-08 14:21:16.883981
34,1,494,Que doideira é essa dar aulas em um veículo que não esteja preparado isso só vai dar acidentes,2026-03-03 02:04:51.545062
35,1,359,"Vai acontecer muitos acidentes, pois os carros particulares não tem equipamentos de segurança para que o instrutor possa acionar. Esta é uma medida popular visando votos em 2026. O golpe esta ai cai quem quer....",2025-05-09 13:35:13.847132
36,1,118,Parabéns pela conquista Ao governo,2025-06-18 05:05:08.358914
37,1,232,Aqui nos Estados Unidos td mundo tira até mais facil e mais barato e nao da acidente na prova. Até q enfim.,2025-05-27 20:10:59.222038
38,1,571,Muito bom mesmo,2026-06-05 22:11:09.432995
39,1,274,"Queremos é o fim do IPVA, e do GRT , vigaristas",2026-06-04 15:09:15.229871
40,1,317,Pq quem manda são os caminhos. E se ele por essa regra. Pode tirar os bolsonaristas. E por os petistas caminheiro Jogo sujo,2025-04-03 02:00:16.769530
41,1,7,Que loucura.,2026-03-23 14:33:42.130038
42,1,580,Aprende ai bolsonaro como nao perder com a maquina na mao lula ta roubando os velhos e ainda vai ganhar as eleicoes,2025-08-07 15:09:57.880498
43,1,146,"Muitos acha que acabou a máfia mais esqueceram que o dinheiro vai direto pro governo agora,a máfia continua",2025-06-28 13:49:10.906949
44,1,94,"REFORÇO, ESSE PROJETO É DO KIM KATAGIRI, LULA COMO SEMPRE USA SUA IMAGEM PARA PROJETOS DE DEPUTADOS QUE REALMENTE SAO DE DIREITA, NAO BOLSONARISTAS DE CENTRAO, ANTES DE APLAUDIREM PROJETOS DESSE LADRAO, PESQUISA QUE FOI O RESPONSAVEL, LULA USOU ISSK COMO PROJETO PARA A FUTURA REELEICAO, SEUS ANALFABETOS POLITICOS.",2025-06-26 02:41:57.062337
45,1,386,Vivo s esquerda q pensa no pobre,2025-11-29 09:36:20.346060
46,1,162,"Os especialistas do Brasil são pessoas conhecidas do governo,porque de especialistas estes não tem nada.",2025-12-23 05:52:10.735984
47,1,333,"Essa porcaria tinha que ser como nos Estados Unidos,na prática isso aí não irá mudar quase nada.",2025-06-11 09:29:51.766304
48,1,87,O Caôs...,2025-04-21 09:05:53.688398
49,1,162,"já está valendo mesmo, tente de novo",2025-06-22 03:00:18.480885
50,1,84,não se não quiser fazer lá,2026-02-08 03:54:20.558134
51,1,435,agradeça ao katia abreu,2025-10-28 20:49:58.946063
52,1,425,"gente aprendendo com parentes ou amigos literalmente sempre existiu... diz aí qual estado teve um número considerável de acidente por esse motivo, nas últimas décadas",2026-02-07 15:40:26.245857
53,1,525,"gente aprendendo com parentes ou amigos literalmente sempre existiu... diz aí qual estado teve um número considerável de acidente por esse motivo, nas últimas décadas",2026-04-24 23:33:14.136354
54,1,114,"reforço, esse projeto é da katia abreu",2026-02-02 19:47:54.887839
55,1,499,VIVA OS ACIDENTES! TA POUCO,2025-10-09 02:21:55.815210
56,1,47,"Depois de mais de 3 anos, enfim, um acerto do Lula. Talvez seja pra diminuir a rejeição.",2026-03-04 20:55:12.235667
57,1,57,Esse projeto é do Kim Kataguiri o Lula só tomou pra ele. E isso que há dois anos atrás o partido dele foi contra o projeto,2026-06-14 19:37:45.337782
58,1,217,É 9 dedo já tá cavando uma possível reeleição kkk só que não,2025-06-15 22:32:59.402617
59,1,262,Só faltou exigir e aprovar o exame toxicológico de cada candidato o candidato para fazer a primeira carteira,2026-01-30 20:30:56.806288
60,1,8,"Eles primeiro criam as surras no gado , depois aliviam as lapadas",2025-10-23 06:03:29.744140
61,1,180,"Até que enfim algo efetivo pra acabar com as máfias das auto-escolas, o bom seria também algo que pudesse acabar com a máfia do psicoteste.",2026-04-17 14:52:52.221274
62,1,236,Até que fim esse governo fez 1 coisa que preste,2025-10-21 20:59:02.630363
63,1,363,"Sou motorista profissional a 23 anos e isso é um escárnio com a população e um perigo constante....quanto mais aulas vc faz p "" tirar a carteira"" mais importante é o processo....o q vai ter d acidentes daqui p frente..",2026-05-14 23:25:12.328236
64,1,44,Pequena notícia boa mas os impostos em forma de burocracia ainda dificulta tirar a CNH fora o valor de carros e motos que e mais importo que o próprio veículo,2025-11-21 13:13:10.307966
65,1,80,Muito bom!,2025-05-01 13:10:59.820656
66,1,440,Vai acabar com os quebras ?,2025-09-16 20:11:50.166731
67,1,428,Quem aí curte uma leitada logo de manhã?,2026-01-30 19:43:59.507710
68,1,22,"Renovação automática, boa!",2025-03-12 16:34:06.066779
69,1,472,Nós proximos 10 anos vai morrer um monte de pedestres e ciclista,2025-05-15 23:01:48.371980
70,1,91,Que bom,2025-11-21 07:33:40.975501
71,1,250,Valeu kim !!,2025-11-21 19:27:45.526655
72,1,537,Boaaa otimoooo,2026-05-11 19:52:23.096269
73,1,348,"Só o Lula pra mudar isso e mudar o imposto de renda só coisas boas,e pro povo não só pra ricos.",2026-03-04 08:48:27.399426
74,1,173,Obrigado Sir Kim Kataguiri!,2026-05-12 21:56:33.635653
75,1,117,e continuarão o mesmo tanto,2025-10-07 08:10:01.129431
76,1,358,o projeto é da katia abreu e o kim só tentou tomar pra ele,2026-01-01 07:45:26.808949
77,1,152,o mesmo tanto que hoje em dia,2026-02-25 07:51:11.925030
78,1,263,Como acaba os roubos kkkk,2026-03-16 00:09:48.077048
79,1,157,"sim, o mesmo que morreram nos últimos 10",2025-06-19 08:33:53.864615
80,1,78,Valores,2026-03-25 15:31:41.165842
81,1,506,Amém.. ei auto escola vai tomar caju...,2025-11-08 06:23:43.887748
82,1,594,Fizemos o L pra isso mesmo,2025-11-15 11:23:06.596105
83,1,331,Isso é realmente algo muito bom eu até cansei de tirar carteira e reprovei muitas vezes e desanimei por que muito caro nisso,2025-04-30 12:37:04.536977
84,1,324,"1.200,00 até 10x",2026-04-07 04:35:37.368907
85,1,481,Eu já perdi tantas vagas de emprego boas desde 2017 quando era mais jovem... agora já agendei os exames... finalmente vou poder dirigir,2025-11-18 16:22:33.953297
86,1,282,,2025-09-08 05:02:18.511694
87,1,520,o problema para mim não e o preço e pessoas que nao saber dirigir.,2026-05-13 23:06:15.179875
88,1,463,"Deus seja Louvado!! Deus falou que se fosse preciso entrar nas leis pra beneficiar aqueles que o servem, entraria. E agora vêm essa notícia. Tudo é pra ele e por ele. Porque ele é o Regedor de todas as coisas. Glória a Deus.",2026-05-31 11:40:01.577693
89,1,294,Bolsonaro e sua corja nunca mais,2026-05-12 17:54:01.477836
90,1,520,Ótimo parabéns governo Lula,2025-12-16 07:59:22.017149
91,1,568,"Eu agora consigo Glória a Deus, esperei tanto e agora sim .",2025-03-18 10:09:17.796941
92,1,43,"O povo é muito fácil de ser enganado, todos acham que é algo bom dado pelo governo e fica todo mundo feliz, nas não percebem o grande perigo em facilitar algo que já gera muitis acidentes por imprudência e falta de capacidade de condutores inexperientes, veremos o índice de acidentes pequenos e graves aumentar drasticamente, isso mostra que o governo quer mesmo é o mau pra população, facilitar pra sair por aí dirigindo é o mesmo que facilitar pra terem armas nas mãos, é um risco",2025-11-15 01:51:40.834185
93,1,586,Vou virar instrutor contrata instrutor credenciado? Mina de dinheiro,2025-08-10 06:28:35.836894
94,1,488,INSS ?????????,2025-10-21 08:16:53.391612
95,1,462,"Autoescolas são máfias ! É vergonhoso as autoescolas brasileiras ! O objetivo deles não é formar motoristas , é fazer o possível pra tirar o máximo de dinheiro de quem já não tem ! As ""aulas"" não servem pra nada e muita gente experiente é reprovada de propósito",2026-04-29 22:08:32.708038
96,1,87,Qe.bom.asim.muintos.Brasileiros.vau.ter.a.oportunidade.parabes,2025-10-19 19:42:16.843482
97,1,41,Boas notícias pro bom motorista,2026-02-19 19:56:17.352651
98,1,450,o PT querendo se manter no poder,2025-10-10 11:18:28.485920
99,1,163,essa lula acertou na mosca,2025-12-26 04:37:44.599631
100,1,397,já gera porque auto escola é inutil nessa questão,2025-12-04 16:47:13.233281
101,1,54,"@marciooliveira6713 ela ensina o básico, não dá pra simular todas as situações que podem ocorrer no trânsito, os condutores aprendem mesmo no dia a dia, mas muitos não são bons condutores, as auto escolas tbm não ensinam dirigir com celular na mão, é irresponsabilidade deles pelos acidentes",2025-06-05 11:02:49.901079
102,1,343,Na decada de 2000 era assim nao tinha auto escola preço hoje das auto escolas é um abisurdo,2026-05-17 22:16:38.363521
103,1,572,"CNH aqui no Mato Grosso sinop 4000,00",2025-07-28 13:21:03.786186
104,1,259,Agora eu tiro a minha kkkk dirigo a 4 anos sem cnh kkk,2025-07-06 19:57:28.447530
105,1,154,"28 anos, tenho moto, ando todos os dias, até que enfim vou tirar minha CNH",2026-01-09 19:40:12.120412
106,1,145,Kim parabéns,2025-04-05 09:04:57.909588
107,1,402,Não gosto do lula mas tá de parabéns,2026-04-17 17:34:18.251437
108,1,87,Reprovei e paguei nessa desgraça 400 reais aqui em Sp. DESSA VEZ O governo acertou .,2026-01-21 05:02:47.840158
109,1,337,So memtira. Na pratica tudo vai ficar mais caro,2025-05-24 23:37:39.810954
110,1,540,Parabéns ao deputado Kim Kataguiri por essa implementação!,2026-05-04 17:39:52.968964
111,1,434,,2025-10-17 22:24:58.896300
112,1,372,Ta bom pelo menos uma coisa boa.,2026-01-21 13:16:32.370764
113,1,350,Acabou a farra,2025-03-21 13:36:20.147131
114,1,197,"Obrigado Kim , e fora Lula!!!!!!!!!",2026-03-01 23:39:40.093367
115,1,159,,2026-05-12 12:54:36.687158
116,1,104,"bommmmm!,,",2025-10-18 07:35:56.625063
117,1,540,O tanto de barbeiros que vai aparecer ave maria!,2026-05-31 10:03:17.380287
118,1,135,Boaa... Parabéns ao deputado Kim kataguiri!,2025-09-05 10:03:17.688386
119,1,167,Obrigado Kim,2026-03-23 20:59:41.141143
120,1,170,Concordo em cobrar monopólios que ficam sugando o dinheiro do povo mais daí facilitar ao ponto de ser carro automático aí já é de mais Passa no carro automático e depois não sabe nem como manusear um mecânico....,2025-07-08 01:16:48.926024
121,1,421,Parabéns kim kataguire,2025-12-26 00:00:50.166550
122,1,244,"e como ficaria ""mais caro"", exatamente?",2025-03-11 01:36:33.894772
123,1,292,@EvandroMesquita-sw6wm ate agora. Tudo que esse hoverno fez foi mentir e toda vez fala uma coisa e faz outra contraria. Sempre tem uma controversia no meio de tudo. Quando isso valer de verdade eu espero que seja exatamente o que ta falando. Mas ai da nao fou assim,2025-06-23 02:30:40.197162
124,1,460,parabéns katia abreu por essa implementação,2026-02-26 09:54:07.746912
125,1,317,o mesmo tanto que hoje em dia,2025-03-12 23:30:03.811742
126,1,481,parabéns a katia abreu,2025-04-11 11:54:39.631578
127,1,377,parabéns katia abreu,2025-07-28 14:11:05.060586
128,1,452,Graças a Deus.. . Misericórdia O tanto que gastei . 7 mil reais num conseguir. Tive que gastar mais 7 mil,2025-11-09 08:31:37.084233
129,1,392,Ano político chegando ou coisa boa bora aproveitar Finalmente um acerto...,2025-10-20 14:35:04.828772
130,1,166,"Motoristas já são ruim com 20 aulas de auto escola, imagina com 2h",2025-05-23 05:01:05.915187
131,1,142,Imagine quem pagou 2800 meses atrás,2025-04-26 07:58:11.737192
132,1,493,Bolsonaro sugeriu isso e fizeram várias reportagens sobre o perigo de não aprender nas auto escolas.,2025-04-25 19:09:05.758846
133,1,106,"Todo processo em carro automático, aí depois compra um manual se e loko o que vai aumentar o numero de barbeiro na rua",2025-07-12 17:44:03.721344
134,1,128,"E o salário que é bom, nada",2026-02-01 22:54:56.125346
135,1,165,Ladrão,2026-02-07 19:59:28.391632
136,1,151,Pain te amo,2025-05-16 10:17:12.921127
137,1,228,A ESQUERDA FINGINDO QUE NÃO ESTA VENDO O BURACO QUE ESSE LADRÃO ESTA COLOCANDO O PAIS,2025-05-23 07:10:45.734467
138,1,28,AGORA SO FALTA DEVOLVER O DINHEIRO DO INSS,2025-12-01 18:20:42.614537
139,1,515,Ok mas qual o valor q será cobrado com esse instrutor? Vai ter um teto tbm?,2025-12-21 08:56:19.455511
140,1,84,Tenho dúvida nessa parte do prazo de conclusão de 1 ano. Significa q não terá mais habilitação provisória?,2025-12-20 22:00:14.063002
141,1,327,Cadê os comedores de capim e ossos para reclamar agora,2025-03-29 15:13:31.436380
142,1,344,Maravilha,2025-06-04 10:17:17.489418
143,1,40,VALEI KIM KATAGUIRI,2026-02-01 02:02:04.014552
144,1,143,"No País onde tudo é caro, o pobre escolhe comprar uma moto com a recisão dele, Ou fazer auto escola. Muitas vidas serão salvas, acredite.",2025-06-20 00:21:43.505332
145,1,460,"Quanto mais o caos melhor pro governo se mostrar bonzinho ,mas sendo que eles mesmo taxa de impostos e auto escola só repassa. Governo lixo",2025-08-27 17:57:23.168332
146,1,20,Quero ver se vão aprovar no teste!,2026-02-15 21:53:54.667276
147,1,562,"Mais acidentes acontecem, por causa dos bebados e dos viciados em drogas q dirigem a todo vapor. por aí.",2025-03-25 03:09:44.950940
148,1,541,Acerto pra é bom mais pesquisa que foi o dono da lei cnh barato pra vc ñ vota no corrupto,2025-11-27 18:15:47.848082
149,1,296,"Essas 18h a pessoa pega no trânsito do dia a dia, ninguém vai sair dirigindo igual louco por aí. Até pq, se vc tomar multa com a provisória, você perde",2026-02-24 16:05:16.636329
150,1,49,acabou de comprovar por conta própria que auto escola é inútil pra essa questão,2026-02-24 06:53:58.085613
151,1,469,sugerir não faz nada... agir sim,2026-05-19 09:58:08.371117
152,1,549,"e desde quando ser barbeiro ou não, tem a ver com a transmissão?",2026-06-10 15:03:33.087748
153,1,589,Aliás vc tá na borda da terra plana e tá quase caindo no buraco,2026-02-22 14:40:45.144107
154,1,299,já está devolvendo o dinheiro que o bozo roubou,2025-11-24 21:28:10.865583
155,1,362,o valor que ele quiser,2026-02-23 06:28:24.638448
156,1,192,"continuará tendo, só não terá mais um ano de prazo para concluir o processo todo",2025-08-04 06:23:15.054626
157,1,537,Projeto foi pelo deputado kim kataguiri. E aprovado por um corrupto do Lula.,2025-03-08 15:22:19.099248
158,1,539,valeu katia abreu,2025-09-30 21:14:01.639202
159,1,520,AGORA ELES VEM COM NOTICIAS POSITIVAS PRO POVO PORQUE VAI VIR ANO DE ELEIÇÕES.....E CLARO O BRASILEIRO É TRO.... IRA CAIR E ESQUECER OS 3 ANOS DE ROU....DITADURA DA TOGA......PERDÃO DE AMIGOS DOS AMIGOS DO LULA E FORO DE SP E ASSIM VAI,2025-09-26 01:28:08.958002
160,1,482,Ótima notícia,2026-05-28 15:31:41.693818
161,1,383,"Projeto de Kim Kataguiri, obrigado kim",2026-02-17 00:02:11.755494
162,1,366,A esquerda trabalhando e a direita sabotando,2025-06-05 19:10:26.014262
163,1,247,"É agora que já roubaram tanto durante anos, enfim, parece ser coisa boa.",2025-07-02 10:06:36.062652
164,1,107,A mesma coisa que distribuir arma de graça,2025-06-13 22:49:12.731639
165,1,341,"Pera, o toxicológico vai ou nao vai ser obrigatório?",2026-04-15 14:19:24.077916
166,1,560,FAZ O L DONOS DE AUTO ESCOLAS KKKKKKKKKKKKKKKKK,2026-01-07 08:03:38.591878
167,1,180,"Andei dez anos sem, ano passado resolvi fazer a auto escola feliz o que eu aprendi? Nada! So fui cobaia do instrutor testando novas técnicas de baliza kkkk",2025-05-16 17:54:34.134644
168,1,476,Vai morrer gente pra caramba....,2025-03-05 16:30:09.504617
169,1,187,Ihuuuul!!! É lulaaaa!!!,2025-05-25 19:01:21.538128
170,1,469,Parabéns ao KIM,2026-05-31 18:50:03.652308
171,1,45,Eu sou um rachador.,2025-06-04 13:24:30.544988
172,1,324,Excelente articulação de 4 anos do deputado Kim Kataguiri. Pelo menos algum bom.,2025-03-28 09:58:01.972165
173,1,408,,2025-03-01 17:02:43.491854
174,1,485,Só lembrando que esta ideia de desburocratizar todo este processo é de Bolsonaro.,2026-02-17 03:54:17.838831
175,1,196,"Antes tarde do que nunca! Mas obviamente estão facilitando pq hje o difícil msm é ter um carro e manter ele. Além de que, as eleições estão chegando e querem mostrar serviço.",2026-02-01 10:52:08.921062
176,1,49,"Mais acidentes vão acontecer, o governo sentenciou as multas exorbitantes para os futuros sinistros que viram dos novos alunos. Ajuda de um lado baixando valor e f*** de outro. 2h de aula???",2025-04-29 18:46:58.824158
177,1,280,PARABÉNS,2026-04-19 21:02:07.098801
178,1,448,"Se com a autoescola e todo suporte que temos ainda acontece a falta de educação das pessoas e tantos sinistros acontecendo, mesmo habilitado as vezes o povo nao aplica o que aprendeu, imagine com 2 horas só de estudo. O governo apoia a facilidade pq ele vai receber as multas em triplo ja que arrombam de um lado precisam repor de outro lado ne?!",2025-04-18 10:27:46.801537
179,1,451,"é só não ser criminoso que não será ""vítima da ditadura""",2025-04-15 23:14:50.488788
180,1,348,projeto de katia abreu,2025-03-09 02:04:25.228960
181,1,510,"parabéns, isso não faz o menor sentido",2025-12-24 12:58:47.019617
182,1,532,"Mais tirou pelo menos? Porque andar de carro eu aprendi com 9 anos KKK auto escola realmente não ensina a andar no trânsito,ensina a passar no exame.",2026-02-10 17:46:43.971809
183,1,435,o mesmo que hoje em dia,2026-05-11 16:39:18.498191
184,1,185,excelente articulação de katia abreu,2025-09-30 05:13:34.781254
185,1,106,"de katia abreu, tirando que o bozo não fez nada",2026-05-11 03:31:40.073815
186,1,303,"""mais acidentes"" por qual motivo, exatamente?",2026-01-22 16:31:25.098171
187,1,437,acabou de comprovar por conta própria que auto escola é inútil pra essa questão,2026-03-30 16:15:06.121189
188,1,360,"@EvandroMesquita-sw6wm Se eu cursar medicina, comprar professores pra passar na facul, estudar de qualquer jeito passar na beirada e te atender futuramente voce ou seu filho sem o mínimo de aplicação daquilo que eu aprendi, a faculdade vai ser culpada se voce morrer por erro médico meu? Ou o errado da história foi o aluno , vulgo eu, que nao virou um bom profissional na área?",2025-11-16 07:47:50.756751
189,1,362,"@EvandroMesquita-sw6wm entao deixa eu perguntar de novo, a auto escola é inútil ou inútil são os condutores que nao aplicam o que aprenderam na autoescola? Voce ja fez autoescola Evandro ?",2025-08-27 23:40:02.498315
190,1,282,Faz o L bolsonarista kkkkk!,2025-08-16 04:39:38.903682
191,1,59,Grande notícia,2026-05-13 13:19:36.362266
192,1,416,Uai então aquela sacanagem que fazia com nós não era necessário ? Tempo para tirar taxas e mais taxas ... Então era pura pilantragem né ... Governo corrupto está fazendo isso só pra ganhar as eleições,2025-12-26 11:22:30.871331
193,1,164,Pelo menos UMA coisa boa até que em fim.,2025-03-19 02:43:59.161331
194,1,449,"Eh, mas e a quebra? Mudaram quem são os avaliadores? Pq são eles que fazem parte da máfia.",2026-06-01 19:57:03.921048
195,1,242,"A mudança de categoria sim teria que ficar mais barato, e o exame toxicológico valer pra todos...",2025-06-10 14:11:14.158194
196,1,371,"Pelo amor de Deus, alguém tira essa dúvida! Posso tirar a carteira com moto elétrica? Tô falando de moto elétrica mesmo, não autopropelido, moto emplacada com velocidade máxima de 100km um exemplo é a moto que quero comprar, a YADEA KEENESS.",2025-12-17 02:42:20.873469
197,1,34,Finalmente vou poder tirar minha primeira carteira de motorista após anos sem poder custear isso devido aos altos valores,2025-09-01 15:49:47.450947
198,1,461,Graças ao KIM KATAGUIRE!!,2025-03-21 00:19:28.947227
199,1,455,,2025-06-17 23:34:51.283933
200,1,141,"Engraçado que dinheiro pra tirar a carteira ninguém tem,agora pra comprar um carro de 50 mil tem.",2025-10-07 21:19:45.126692
201,1,322,Bafo!,2025-08-11 08:38:59.174979
202,1,117,LULA 2026,2026-06-06 02:06:00.840333
203,1,512,Fim da mafia das auto escola,2025-10-13 12:00:01.179721
204,1,121,Esse congresso é senado i imigrantes do povo não vai aprovar,2026-02-13 02:36:55.173421
205,1,457,BICHO PILANTRA ELE ROUBA INSS DEPOIS QUE METE O LOKO VOCES SABEM TUDO Q VEM DO GORVERNO N E FACIL VC VAI VER DE NOVO!!!,2026-03-07 17:17:54.201584
206,1,293,"Sobre a FAKE NEWS que a direita inventou que essa proposta é de Kim Kataguiri, É MENTIRA Kim apresentou uma proposta parecida em 2020, a PL 4474/2020, MAS ELA FOI ENGAVETADA, nunca foi para frente!!! Essa mudança atual não tem nada a ver com o Kim. Ela foi feita com a aprovação do Conselho Nacional de Trânsito (Contran), que foi proposta pelo Ministerio dos Transportes com a aprovação do governo Lula, OU SEJA, NÃO FOI OS DEPUTADOS, FOI O GOVERNO QUE APROVOU!",2025-07-21 01:59:54.782142
207,1,205,"Acredito que o caminho para quem é um bom instrutor vai ser dar aulas particulares, se for um bom profissional talvez até ganhei mais que na autoescola.",2026-04-20 18:09:36.712051
208,1,463,Em compensação vai cobrar IPVA até de cadeira de rodas...,2026-03-27 19:08:32.782702
209,1,456,"Depois de 12 anos dirigindo sem carteira, agora eu vou tirar a minha",2025-02-25 19:28:17.052064
210,1,328,"Pode chorar, poderoso chefinho",2025-08-02 14:30:49.566740
211,1,67,"Parabéns ao governo! Aparentemente uma boa medida. No entanto, nada valida algo melhor do que o tempo. Só o tempo vai revelar, de fato, se as alterações foram ideais.",2025-09-28 01:13:58.052967
212,1,308,PARABÉNS NOSSO PRESIDENTE LULA,2025-05-06 16:44:30.712351
213,1,179,Isso sim foi progresso do governo estava passando da hora de desburocratizar esse sistema alimentado por verdadeiras mafias,2025-06-03 07:39:58.936744
214,1,230,Agora sim vai ter mais acidentes,2026-04-21 08:49:01.979105
215,1,143,Até que enfim,2026-02-25 02:28:50.971577
216,1,27,Campanha do regime lulista a todo vapor com ampla cobertura da tv estatal globo uol,2025-12-27 15:08:00.797955
217,1,378,"Lula. ""O EXTERMINADOR do FUTURO...Milhares de trabalhadores PERDERÃO seus Empregos por conta dessa CANETADA do dito DEFENSOR dos Trabalhadores brasileiros."" ...@ próxima Profissão a ser ELIMINADA pelo 'EXTERMINADOR do FUTURO' poderá ser a SUA. Portanto na Ri Não...Cara Pálida!!!",2025-11-06 14:42:08.897410
218,1,133,Graças a Deus Amei E PT13 E Lula 13,2025-08-29 09:02:29.843932
219,1,68,Volta lula,2026-01-21 08:23:38.080654
220,1,491,"Poise, eu fiz pelo aplicativo tudo certinho, quando fui marcar pelo CFC, falaram que não sabem de nada ,que contínua tudo igual.......e que essas aulas que fiz não vale nada , eu não entendi",2025-10-09 16:36:09.907455
221,1,420,"Eu já estava vendo autoescola falando que a taxa do detran e da clínica iriam aumentar, aonde faço pra denunciar?",2025-05-20 02:53:24.947706
222,1,129,"A máfia sempre dá um jeito. Muda a regra, mas a autoescola e o examinador acabam se ajustando. O Brasil não é para amadores",2025-03-09 17:31:21.383464
223,1,76,"Para motos são as mesmas regras? pois o exame é feito em pista, os instrutores não terão pistas proprias.",2025-11-14 23:05:35.512290
224,1,530,"Graças a Deus,agora vai",2026-01-04 11:27:29.091750
225,1,565,Estão facilitando porque ano que vem tem eleições.,2025-08-16 00:55:44.356803
226,1,133,Bom demais,2025-11-23 06:37:12.642972
227,1,128,Dá com a mão e tia com a outra,2025-10-13 07:53:52.367660
228,1,169,"As auto escolas que amam dificultar para os aluno não passarem, e continuarem pagando",2026-04-01 22:01:40.198603
229,1,231,Ja esta valendo alguém sabe dizee,2026-01-03 18:07:07.123432
230,1,291,Vc tem que ir no Detran,2025-05-09 07:08:46.010516
231,1,202,"Alguém acredita nessa lábia,o larápio só quer voto",2025-08-18 07:23:01.238663
232,1,282,Ufa,2026-04-19 13:02:32.233996
233,1,547,Nao vi os gados reclamando,2026-05-04 17:56:49.324079
234,1,173,Eleição chegando kk,2025-09-08 00:34:12.405505
235,1,158,Graças a Deus!,2026-03-28 11:52:39.494462
